keyword,listing_id,title,sold_price,sold_date,sold_at,condition,followers,category,created_at,fetch_date
Number Nine AW03,87557591,Number Nine AW04 Pain Denim,190,2026-01-14,2026-01-14T12:04:16.134Z,is_gently_used,94,bottoms,2025-11-08T22:21:24.609Z,2026-05-09
Number Nine AW03,80556164,Number Nine AW04 Mindless Obedience Is Un-American Tshirt,250,2026-01-11,2026-01-11T20:50:22.053Z,is_used,16,tops,2025-06-03T02:22:36.849Z,2026-05-09
Number Nine AW03,90130401,Number nine aw02 distressed painter denim,108,2026-01-07,2026-01-07T04:20:14.918Z,is_gently_used,5,bottoms,2025-12-30T19:57:16.859Z,2026-05-09
Number Nine AW03,78985559,Number Nine AW06 “Noir “ Exclusive Staff Shirt,270,2026-01-07,2026-01-07T01:48:55.315Z,is_used,23,tops,2025-04-28T19:35:44.834Z,2026-05-09
Number Nine AW03,89992347,Number nine aw09 thermal,145,2026-01-01,2026-01-01T21:26:33.890Z,is_gently_used,10,tops,2025-12-27T18:23:12.152Z,2026-05-09
Number Nine AW03,81011218,Number Nine AW02 George Harrison Poem Shirt,160,2026-01-01,2026-01-01T17:18:35.790Z,is_used,127,tops,2025-06-13T23:40:04.889Z,2026-05-09
Number Nine AW03,87379543,Number Nine AW04 ‘Give Peace a Chance’ Tee,202,2025-12-19,2025-12-19T06:00:31.438Z,is_gently_used,21,tops,2025-11-04T22:06:58.815Z,2026-05-09
Number Nine AW03,89269925,Number Nine AW05 “The High Streets” hooded flannel,245,2025-12-16,2025-12-16T03:58:08.338Z,is_used,13,tops,2025-12-14T15:46:49.561Z,2026-05-09
Number Nine AW03,83963233,Number Nine AW07 Paisley Skull Tee,115,2025-12-12,2025-12-12T04:32:22.363Z,is_used,114,tops,2025-08-19T17:39:29.647Z,2026-05-09
Number Nine AW03,88349860,Number nine AW08 varsity jacket,350,2025-12-08,2025-12-08T00:02:53.734Z,is_used,24,outerwear,2025-11-24T17:23:54.735Z,2026-05-09
Number Nine AW03,87934615,number nine aw01 shield emblem hoodie,350,2025-12-05,2025-12-05T03:19:44.139Z,is_used,194,tops,2025-11-16T17:10:16.002Z,2026-05-09
Number Nine AW03,83871141,Number Nine AW00 Redisun Giovani Estevez Knight T Shirt,135,2025-11-23,2025-11-23T15:52:24.884Z,is_gently_used,125,tops,2025-08-17T22:18:29.464Z,2026-05-09
Number Nine AW03,86853804,number nine aw01 shield emblem hoodie,185,2025-11-10,2025-11-10T13:39:08.776Z,is_used,160,tops,2025-10-25T01:18:04.786Z,2026-05-09
Number Nine AW03,94940511,Numbernine aw02 nowhereman longsleeve,105,2026-04-24,2026-04-24T13:36:39.329Z,is_used,35,tops,2026-04-04T23:21:01.611Z,2026-05-09
Number Nine AW03,95757589,Number Nine Archive AW01 Dark Grey Zip Up Jacket,155,2026-04-28,2026-04-28T05:47:42.003Z,is_gently_used,69,outerwear,2026-04-22T16:57:50.986Z,2026-05-09
Number Nine AW03,95760693,Number (N)ine AW02 ‘Nowhere Man’ Silver Tag Denim Jeans,230,2026-04-27,2026-04-27T21:18:42.927Z,is_used,85,bottoms,2026-04-22T18:32:04.228Z,2026-05-09
Number Nine AW03,93579445,Number (N)ine AW01 Crest Tee,220,2026-04-20,2026-04-20T18:26:23.289Z,is_gently_used,290,tops,2026-03-09T19:49:35.136Z,2026-05-09
Number Nine AW03,91228428,Number (N)ine AW05 “The High Streets” 1/100 Shirt,160,2026-04-08,2026-04-08T12:52:20.844Z,is_gently_used,20,tops,2026-01-20T22:15:29.374Z,2026-05-09
Number Nine AW03,96040984,Number Nine Pain Denim AW07,340,2026-05-08,2026-05-08T12:02:16.363Z,is_gently_used,34,bottoms,2026-04-28T20:45:31.462Z,2026-05-09
Number Nine AW03,90154815,Number Nine Bondage Jeans AW06 ’Noir’,370,2026-02-13,2026-02-13T13:23:48.345Z,is_used,23,bottoms,2025-12-30T21:53:02.818Z,2026-05-09
Number Nine AW03,88926014,30 AW01 Number Nine D.A.V.F. Patchwork Jeans Denim Archive,225,2025-12-30,2025-12-30T09:13:03.372Z,is_used,9,bottoms,2025-12-06T22:18:07.648Z,2026-05-09
Number Nine AW03,88315453,AW01 Number Nine Knight Tee,110,2025-12-20,2025-12-20T06:20:21.331Z,is_gently_used,130,tops,2025-11-24T00:27:08.798Z,2026-05-09
Number Nine AW03,87919739,Number nine Disco sucks AW04,175,2025-12-12,2025-12-12T14:41:27.959Z,is_gently_used,1,tops,2025-11-16T07:00:29.732Z,2026-05-09
Number Nine AW03,87169685,aw06 number nine og pain heart distressed skinny denim,170,2025-11-15,2025-11-15T23:04:56.568Z,is_gently_used,34,bottoms,2025-10-31T13:47:17.632Z,2026-05-09
Number Nine AW03,90755342,AW00 Redisun Number Nine Embroidered Pattern Sneakers,50,2026-01-16,2026-01-16T03:13:20.095Z,is_used,3,footwear,2026-01-12T00:54:57.469Z,2026-05-09
Number Nine AW03,92068535,Number Nine The High Streets World Tour Tee- AW05,108,2026-03-23,2026-03-23T22:53:42.549Z,is_used,140,tops,2026-02-06T18:18:47.103Z,2026-05-09
Number Nine AW03,96517184,"AW02 ""Nowhere Man"" Braided Tee",110,2026-05-09,2026-05-09T00:46:48.191Z,is_gently_used,17,tops,2026-05-08T08:39:45.241Z,2026-05-09
Number Nine AW03,92567312,AW02 “Nowhere Man” George Harrison,85,2026-05-08,2026-05-08T20:58:49.500Z,is_used,68,tops,2026-02-17T13:40:58.828Z,2026-05-09
Number Nine AW03,96366372,"AW01 - ""School of Visual Comedy"" Rug",300,2026-05-05,2026-05-05T16:55:31.671Z,is_gently_used,832,accessories,2026-05-05T16:21:17.510Z,2026-05-09
Number Nine AW03,59684003,AW06 'Noir' Bondage Jeans,385,2026-04-10,2026-04-10T15:46:36.282Z,is_gently_used,72,bottoms,2024-04-16T23:56:23.738Z,2026-05-09
Number Nine AW09,79977705,Number Nine AW09 Blue Denim Jacket,120,2026-04-16,2026-04-16T18:21:05.389Z,is_gently_used,63,outerwear,2025-05-23T00:57:58.337Z,2026-05-09
Number Nine AW09,89992347,Number nine aw09 thermal,145,2026-01-01,2026-01-01T21:26:33.890Z,is_gently_used,10,tops,2025-12-27T18:23:12.152Z,2026-05-09
Number Nine AW09,93868812,Number Nine AW05 Red “The High Streets” Zip,700,2026-05-08,2026-05-08T18:28:43.622Z,is_gently_used,86,tops,2026-03-15T19:28:57.411Z,2026-05-09
Number Nine AW09,95402642,Number (Nine) AW03 Double Skull Velour Jacket,800,2026-04-19,2026-04-19T20:04:11.495Z,is_used,7,tops,2026-04-15T17:36:28.541Z,2026-05-09
Number Nine AW09,86699930,Number Nine Aw02 Nowhere Man t shirt,80,2026-03-29,2026-03-29T03:34:32.811Z,is_gently_used,257,tops,2025-10-21T19:27:26.997Z,2026-05-09
Number Nine AW09,92927350,Number nine AW06 Noir sunglasses,140,2026-03-27,2026-03-27T06:16:17.958Z,is_used,57,accessories,2026-02-25T00:27:37.852Z,2026-05-09
Number Nine AW09,90869425,Number Nine AW04 Tee,175,2026-03-19,2026-03-19T18:52:33.584Z,is_gently_used,503,tops,2026-01-14T18:19:25.953Z,2026-05-09
Number Nine AW09,93691408,Number Nine AW05 Ortega Denim,200,2026-03-13,2026-03-13T20:19:56.075Z,is_gently_used,54,bottoms,2026-03-11T21:09:46.619Z,2026-05-09
Number Nine AW09,91602701,Number Nine AW06 Noir Pain Denim,225,2026-03-08,2026-03-08T01:30:59.576Z,is_gently_used,119,bottoms,2026-01-28T11:40:40.755Z,2026-05-09
Number Nine AW09,92240908,Number Nine AW07 Love Period Takahiro Plaid Western Shirt,120,2026-03-06,2026-03-06T08:14:31.917Z,is_gently_used,3,tops,2026-02-10T05:22:39.768Z,2026-05-09
Number Nine AW09,93053779,Number nine AW06 Noir blazer,300,2026-02-27,2026-02-27T17:10:11.216Z,is_new,0,tailoring,2026-02-27T16:33:33.518Z,2026-05-09
Number Nine AW09,90741674,number nine aw04 tribal tee,300,2026-02-26,2026-02-26T09:04:14.402Z,is_gently_used,50,tops,2026-01-11T20:09:20.012Z,2026-05-09
Number Nine AW09,91376273,number nine aw05 fender hoodie,315,2026-02-06,2026-02-06T00:42:18.064Z,is_gently_used,171,tops,2026-01-23T19:40:15.032Z,2026-05-09
Number Nine AW09,86044229,Vintage Number Nine AW00 Knight By Giovani Estevez T-Shirt,90,2026-02-02,2026-02-02T15:15:25.709Z,is_used,15,tops,2025-10-06T19:20:19.978Z,2026-05-09
Number Nine AW09,91017526,Number Nine AW04 Give Peace A Chance Denim,185,2026-01-30,2026-01-30T13:00:24.165Z,is_new,38,bottoms,2026-01-16T18:47:22.445Z,2026-05-09
Number Nine AW09,87370675,Number Nine AW03 Touch Me I'm Sick Heart Patch Converse,575,2026-01-22,2026-01-22T19:20:18.160Z,is_used,171,footwear,2025-11-04T18:20:37.475Z,2026-05-09
Number Nine AW09,90992875,Number Nine AW01 “Standards” Grunge Denim,275,2026-01-16,2026-01-16T17:04:31.726Z,is_gently_used,2,bottoms,2026-01-16T07:43:16.951Z,2026-05-09
Number Nine AW09,87557591,Number Nine AW04 Pain Denim,190,2026-01-14,2026-01-14T12:04:16.134Z,is_gently_used,94,bottoms,2025-11-08T22:21:24.609Z,2026-05-09
Number Nine AW09,80556164,Number Nine AW04 Mindless Obedience Is Un-American Tshirt,250,2026-01-11,2026-01-11T20:50:22.053Z,is_used,16,tops,2025-06-03T02:22:36.849Z,2026-05-09
Number Nine AW09,90130401,Number nine aw02 distressed painter denim,108,2026-01-07,2026-01-07T04:20:14.918Z,is_gently_used,5,bottoms,2025-12-30T19:57:16.859Z,2026-05-09
Number Nine AW09,78985559,Number Nine AW06 “Noir “ Exclusive Staff Shirt,270,2026-01-07,2026-01-07T01:48:55.315Z,is_used,23,tops,2025-04-28T19:35:44.834Z,2026-05-09
Number Nine AW09,81011218,Number Nine AW02 George Harrison Poem Shirt,160,2026-01-01,2026-01-01T17:18:35.790Z,is_used,127,tops,2025-06-13T23:40:04.889Z,2026-05-09
Number Nine AW09,89901211,Number Nine AW03 “Touch Me I’m Sick” Kurt Cobain Jeans,170,2025-12-30,2025-12-30T07:19:14.489Z,is_gently_used,67,bottoms,2025-12-25T18:13:57.208Z,2026-05-09
Number Nine AW09,87379543,Number Nine AW04 ‘Give Peace a Chance’ Tee,202,2025-12-19,2025-12-19T06:00:31.438Z,is_gently_used,21,tops,2025-11-04T22:06:58.815Z,2026-05-09
Number Nine AW09,89269925,Number Nine AW05 “The High Streets” hooded flannel,245,2025-12-16,2025-12-16T03:58:08.338Z,is_used,13,tops,2025-12-14T15:46:49.561Z,2026-05-09
Number Nine AW09,83963233,Number Nine AW07 Paisley Skull Tee,115,2025-12-12,2025-12-12T04:32:22.363Z,is_used,114,tops,2025-08-19T17:39:29.647Z,2026-05-09
Number Nine AW09,88349860,Number nine AW08 varsity jacket,350,2025-12-08,2025-12-08T00:02:53.734Z,is_used,24,outerwear,2025-11-24T17:23:54.735Z,2026-05-09
Number Nine AW09,87934615,number nine aw01 shield emblem hoodie,350,2025-12-05,2025-12-05T03:19:44.139Z,is_used,194,tops,2025-11-16T17:10:16.002Z,2026-05-09
Number Nine AW09,83871141,Number Nine AW00 Redisun Giovani Estevez Knight T Shirt,135,2025-11-23,2025-11-23T15:52:24.884Z,is_gently_used,125,tops,2025-08-17T22:18:29.464Z,2026-05-09
Number Nine AW09,86853804,number nine aw01 shield emblem hoodie,185,2025-11-10,2025-11-10T13:39:08.776Z,is_used,160,tops,2025-10-25T01:18:04.786Z,2026-05-09
Number Nine AW09,94940511,Numbernine aw02 nowhereman longsleeve,105,2026-04-24,2026-04-24T13:36:39.329Z,is_used,35,tops,2026-04-04T23:21:01.611Z,2026-05-09
Number Nine AW09,95757589,Number Nine Archive AW01 Dark Grey Zip Up Jacket,155,2026-04-28,2026-04-28T05:47:42.003Z,is_gently_used,69,outerwear,2026-04-22T16:57:50.986Z,2026-05-09
Number Nine AW09,94981124,Number (N)ine AW03 Touch Me I’m Sick Graphic T-Shirt | 5,385,2026-05-09,2026-05-09T02:10:24.531Z,is_gently_used,19,tops,2026-04-06T02:22:44.213Z,2026-05-09
Number Nine AW09,95760693,Number (N)ine AW02 ‘Nowhere Man’ Silver Tag Denim Jeans,230,2026-04-27,2026-04-27T21:18:42.927Z,is_used,85,bottoms,2026-04-22T18:32:04.228Z,2026-05-09
Number Nine AW09,95870628,Number (N)ine AW03 Rosary Chain Tee,99,2026-04-26,2026-04-26T01:46:09.237Z,is_gently_used,169,tops,2026-04-25T00:47:53.907Z,2026-05-09
Number Nine AW09,93579445,Number (N)ine AW01 Crest Tee,220,2026-04-20,2026-04-20T18:26:23.289Z,is_gently_used,290,tops,2026-03-09T19:49:35.136Z,2026-05-09
Number Nine AW09,91228428,Number (N)ine AW05 “The High Streets” 1/100 Shirt,160,2026-04-08,2026-04-08T12:52:20.844Z,is_gently_used,20,tops,2026-01-20T22:15:29.374Z,2026-05-09
Number Nine AW09,96040984,Number Nine Pain Denim AW07,340,2026-05-08,2026-05-08T12:02:16.363Z,is_gently_used,34,bottoms,2026-04-28T20:45:31.462Z,2026-05-09
Number Nine AW09,90154815,Number Nine Bondage Jeans AW06 ’Noir’,370,2026-02-13,2026-02-13T13:23:48.345Z,is_used,23,bottoms,2025-12-30T21:53:02.818Z,2026-05-09
Number Nine AW09,90600535,AW03 Number Nine Striped Tee,168,2026-01-27,2026-01-27T07:00:52.508Z,is_gently_used,71,tops,2026-01-09T04:21:35.969Z,2026-05-09
Number Nine AW09,88926014,30 AW01 Number Nine D.A.V.F. Patchwork Jeans Denim Archive,225,2025-12-30,2025-12-30T09:13:03.372Z,is_used,9,bottoms,2025-12-06T22:18:07.648Z,2026-05-09
Number Nine AW09,88315453,AW01 Number Nine Knight Tee,110,2025-12-20,2025-12-20T06:20:21.331Z,is_gently_used,130,tops,2025-11-24T00:27:08.798Z,2026-05-09
Number Nine AW09,87919739,Number nine Disco sucks AW04,175,2025-12-12,2025-12-12T14:41:27.959Z,is_gently_used,1,tops,2025-11-16T07:00:29.732Z,2026-05-09
Number Nine AW09,87169685,aw06 number nine og pain heart distressed skinny denim,170,2025-11-15,2025-11-15T23:04:56.568Z,is_gently_used,34,bottoms,2025-10-31T13:47:17.632Z,2026-05-09
Number Nine AW09,90755342,AW00 Redisun Number Nine Embroidered Pattern Sneakers,50,2026-01-16,2026-01-16T03:13:20.095Z,is_used,3,footwear,2026-01-12T00:54:57.469Z,2026-05-09
Number Nine AW09,92068535,Number Nine The High Streets World Tour Tee- AW05,108,2026-03-23,2026-03-23T22:53:42.549Z,is_used,140,tops,2026-02-06T18:18:47.103Z,2026-05-09
Number Nine AW09,96517184,"AW02 ""Nowhere Man"" Braided Tee",110,2026-05-09,2026-05-09T00:46:48.191Z,is_gently_used,17,tops,2026-05-08T08:39:45.241Z,2026-05-09
Number Nine AW09,92567312,AW02 “Nowhere Man” George Harrison,85,2026-05-08,2026-05-08T20:58:49.500Z,is_used,68,tops,2026-02-17T13:40:58.828Z,2026-05-09
Number Nine AW09,96366372,"AW01 - ""School of Visual Comedy"" Rug",300,2026-05-05,2026-05-05T16:55:31.671Z,is_gently_used,832,accessories,2026-05-05T16:21:17.510Z,2026-05-09
Number Nine AW09,59684003,AW06 'Noir' Bondage Jeans,385,2026-04-10,2026-04-10T15:46:36.282Z,is_gently_used,72,bottoms,2024-04-16T23:56:23.738Z,2026-05-09
Raf Simons FW02 knit sweater,89270103,FW06 Jil by Raf Simons Cashmere+Wool Keyhole Neck knit,270,2026-01-08,2026-01-08T23:40:05.467Z,is_gently_used,48,tops,2025-12-13T15:51:29.325Z,2026-05-09
Prada bowling shirt,95148577,Prada Bowling Shirt,650,2026-04-12,2026-04-12T22:17:36.131Z,is_gently_used,4,outerwear,2026-04-09T21:09:45.671Z,2026-05-09
Prada bowling shirt,88090816,Prada bowling shirt,280,2026-01-14,2026-01-14T04:46:28.774Z,is_worn,33,tops,2025-11-20T03:55:11.459Z,2026-05-09
Prada bowling shirt,55880230,Prada bowling shirt (limited edition),470,2026-01-09,2026-01-09T00:56:54.551Z,is_gently_used,173,tops,2024-01-27T17:41:35.795Z,2026-05-09
Prada bowling shirt,87930323,Prada bowling shirt,342,2025-12-03,2025-12-03T07:54:21.789Z,is_gently_used,41,tops,2025-11-16T15:08:59.995Z,2026-05-09
Prada bowling shirt,90195842,Prada Floral Bowling Shirt in XL,250,2026-01-30,2026-01-30T12:57:06.285Z,is_gently_used,12,tops,2026-01-01T03:39:00.211Z,2026-05-09
Prada bowling shirt,90318760,Prada nylon bowling shirt,360,2026-01-18,2026-01-18T04:38:30.049Z,is_new,13,tops,2026-01-03T17:20:46.805Z,2026-05-09
Prada bowling shirt,84897111,Prada Purple Flame Bowling Shirt,500,2026-04-06,2026-04-06T07:07:38.633Z,is_gently_used,35,tops,2025-09-09T20:21:19.211Z,2026-05-09
Prada bowling shirt,85030055,Prada Denim Bleached Bowling Shirt Sz XL,690,2026-03-12,2026-03-12T16:15:15.660Z,is_new,8,tops,2025-09-12T20:09:09.746Z,2026-05-09
Prada bowling shirt,92541526,Prada Printed Cotton Bowling Shirt,500,2026-03-02,2026-03-02T20:01:22.161Z,is_gently_used,37,tops,2026-02-16T22:18:29.978Z,2026-05-09
Prada bowling shirt,91575489,Prada multi camo bowling shirt,250,2026-03-02,2026-03-02T16:33:51.943Z,is_gently_used,65,tops,2026-01-27T21:03:42.416Z,2026-05-09
Prada bowling shirt,86888084,Prada Re-Nylon Bowling Shirt,475,2026-02-21,2026-02-21T20:25:29.425Z,is_gently_used,34,tops,2025-10-25T19:01:24.828Z,2026-05-09
Prada bowling shirt,85990785,Prada double match bowling shirt,375,2025-11-25,2025-11-25T06:04:40.904Z,is_gently_used,72,tops,2025-10-05T15:37:19.184Z,2026-05-09
Prada bowling shirt,95427135,Prada Frankenstein Lighting bolt bowling shirt,215,2026-05-07,2026-05-07T16:16:05.339Z,is_gently_used,20,tops,2026-04-15T13:44:35.625Z,2026-05-09
Prada bowling shirt,79713931,Prada double match split bowling shirt,353,2026-05-01,2026-05-01T02:56:45.813Z,is_gently_used,207,tops,2025-05-15T16:27:01.053Z,2026-05-09
Prada bowling shirt,89859764,Prada SS2020 Cassette Print Bowling shirt XL,350,2026-04-24,2026-04-24T06:23:39.069Z,is_gently_used,32,tops,2025-12-25T04:31:33.636Z,2026-05-09
Prada bowling shirt,90836109,Prada SS2020 Cassette Print Bowling shirt,375,2026-03-07,2026-03-07T01:15:39.728Z,is_gently_used,33,tops,2026-01-13T14:11:37.514Z,2026-05-09
Prada bowling shirt,88174227,Prada Frankenstein Double Match Bowling Shirt,340,2026-01-02,2026-01-02T22:23:27.422Z,is_gently_used,58,tops,2025-11-21T12:56:12.846Z,2026-05-09
Prada bowling shirt,90375563,Prada double match button up bowling shirt,399,2026-03-28,2026-03-28T16:13:08.845Z,is_gently_used,37,tops,2026-01-04T21:07:21.873Z,2026-05-09
Prada bowling shirt,93118446,Prada Double Match Hawaiian Floral Bowling Shirt,500,2026-03-07,2026-03-07T21:59:08.404Z,is_gently_used,111,tops,2026-02-28T22:34:25.449Z,2026-05-09
Prada bowling shirt,90721354,Prada Double Match Hawaiian Floral Bowling Shirt,650,2026-01-31,2026-01-31T22:43:13.300Z,is_gently_used,87,tops,2026-01-11T11:21:52.826Z,2026-05-09
Prada bowling shirt,93958805,Prada Banana Double Match Bowling Button Up Shirt - XL,400,2026-04-21,2026-04-21T14:39:14.414Z,is_gently_used,21,tops,2026-03-16T21:02:17.303Z,2026-05-09
Prada bowling shirt,92935024,Prada Silk Floral/ Flower Print Twill Bowling Shirt,240,2026-04-08,2026-04-08T16:57:04.058Z,is_used,29,tops,2026-02-25T04:27:00.575Z,2026-05-09
Prada bowling shirt,90988754,Prada Double Match Striped Hawaiian 2021 Bowling Shirt,399,2026-03-20,2026-03-20T06:13:47.076Z,is_used,125,tops,2026-01-16T05:20:59.440Z,2026-05-09
Prada bowling shirt,88705844,Prada Short Sleeve Camp Collar Contrast Bowling Shirt 2018,315,2026-03-08,2026-03-08T23:21:20.335Z,is_gently_used,5,tops,2025-12-01T18:27:06.157Z,2026-05-09
Prada bowling shirt,89374918,PRADA FW19 Double Match Hawaiian Girl Floral Bowling Shirt,519,2026-03-12,2026-03-12T07:55:51.919Z,is_gently_used,28,tops,2025-12-15T17:07:21.253Z,2026-05-09
Prada bowling shirt,88663728,Prada FW18 Banana Flames Print Shirt Bowling sz L,350,2026-01-27,2026-01-27T20:09:05.367Z,is_gently_used,254,tops,2025-11-30T20:34:18.552Z,2026-05-09
Prada bowling shirt,94727442,Prada Double Match Black Purple Red FW20 Horse Bowling Shirt,450,2026-04-25,2026-04-25T00:14:07.613Z,is_new,137,tops,2026-03-31T16:37:08.613Z,2026-05-09
Prada bowling shirt,89111672,Human Collage - Statue Print - SS19 - Polo Bowling Shirt,175,2026-02-11,2026-02-11T01:01:36.669Z,is_gently_used,26,tops,2025-12-10T19:33:35.448Z,2026-05-09
Prada bowling shirt,91090359,Prada Bowling Button Up Sky Blue Cotton Triangle Logo Shirt,385,2026-03-04,2026-03-04T16:43:19.456Z,is_gently_used,15,tops,2026-01-18T04:27:09.824Z,2026-05-09
Raf Simons consumed cargo pants,87917960,SS2003 Raf Simons ‘Consumed’ MA-1 Cargo Pocket Denim,420,2025-11-30,2025-11-30T15:28:19.907Z,is_gently_used,71,bottoms,2025-11-16T05:37:34.517Z,2026-05-09
Helmut Lang SS99,80370981,"HELMUT LANG SS99 ""VINTAGE DARK"" CLASSIC CUT DENIM",110,2025-11-24,2025-11-24T00:11:21.499Z,is_used,77,bottoms,2025-05-29T21:08:38.890Z,2026-05-09
Helmut Lang SS99,92772263,SS99 Helmut Lang Vintage Cotton 5 Pocket Jeans Tan Pants,130,2026-03-26,2026-03-26T23:34:08.924Z,is_gently_used,58,bottoms,2026-02-21T23:04:57.222Z,2026-05-09
Helmut Lang SS99,92372763,SS99 Helmut Lang Wax Coated Bootcut Denim Jeans Thrashed,450,2026-02-18,2026-02-18T21:56:41.508Z,is_gently_used,183,bottoms,2026-02-13T02:21:06.838Z,2026-05-09
Helmut Lang SS99,91697884,SS99 Helmut Lang Vintage MA-1 Flight Bomber Jacket,580,2026-02-12,2026-02-12T22:27:19.084Z,is_used,335,outerwear,2026-01-30T09:25:42.709Z,2026-05-09
Helmut Lang SS99,40692921,🔥RARE🔥SS99 Helmut Lang Abstract Painter Tshirt,405,2026-02-10,2026-02-10T09:57:44.413Z,is_used,13,tops,2023-02-09T16:31:07.379Z,2026-05-09
Helmut Lang SS99,85244076,Steal🔥Vintage SS99 Helmut Lang Painter Jeans Classic Cut,150,2025-11-26,2025-11-26T20:00:19.568Z,is_used,45,bottoms,2025-09-18T05:50:33.846Z,2026-05-09
Helmut Lang SS99,86987262,SS99 Titanium Aviator Sunglasses (Gold/Brown),120,2025-12-14,2025-12-14T13:39:59.633Z,is_new,86,accessories,2025-10-27T20:49:04.692Z,2026-05-09
Helmut Lang SS99,95804190,Helmut Lang SS97 Prototype denim jacket,413,2026-04-30,2026-04-30T11:02:51.408Z,is_gently_used,3,outerwear,2026-04-23T16:43:50.374Z,2026-05-09
